board,repo,category,original,verdict,reviewer,selection_seed,evidence,reason
navsim_v1,https://github.com/ZebinX/DriveVLA-M0,offline_candidate_library,no,no,independent_review_acceptance,20260924,"DriveVLA-M0 action_decoder.py:61-67,154-169,198-213,228-272; README.md:44-54; drivevla_m0.pdf §3.1 / Algorithm 1",可学习query在线解码候选；离线memory存案例特征供检索适配，未见大型固定轨迹候选库进入正式选轨。
nuscenes,https://github.com/MSunDYY/SparseOccVLA,metric_proxy_candidate_selection,no,no,independent_review_acceptance,20260924,"SparseOccVLA sparseoccvla.py:273-285,539-561,730-766; evaluation/eval_planning.py:44-86; sparseoccvla.pdf §3.3,§4.1",候选分类由最近未来GT anchor监督，L2/碰撞只在评测计算；无榜单子分数代理评分头。
navsim_v1,https://github.com/valeoai/TOAD,future_label_conditioning,no,no,independent_review_acceptance,20260924,"TOAD nav1 run_create_submission_pickle.py:61-83; drivor_features.py:38-65,199-262; dataclasses.py:369-394; toad.pdf §3.2",正式提交只取历史相机/ego和已有导航指令；未来轨迹仅供target监督。原始指令上游来源未公开。
navsim_v2,https://github.com/valeoai/TOAD,metric_proxy_candidate_selection,no,no,independent_review_acceptance,20260924,"TOAD v2 README.md:135-179; drivoR.yaml:43-46; drivor_model.py:209-249,352-393; toad.pdf §3.2 Eq.(2)-(4)",固定候选argmax是CEM初始化及回退，最终可输出新轨迹；按codebook只归metric_proxy_test_search。
hugsim,https://github.com/AFARI-Research/WA-JEPA,simulator_pose_access,no,no,independent_review_acceptance,20260924,"WA-JEPA hugsim_client.py:182-194; hugsim_planner.py:197-200,242-268; docs/hugsim_closed_loop.md:68-80; wa_jepa.pdf Planning inference / Appendix A",FIFO info提供world-frame ego_box构造历史运动输入；固定agent未直接查询world/actor，未满足精确判据。
navsim_v1,https://github.com/ZebinX/DriveVLA-M0,future_label_conditioning,no,no,independent_review_acceptance,20260924,"DriveVLA-M0 drivevla_base_agent.py:358-387,473-490; drivevla_features.py:80-109,152-192; drivevla_m0.pdf §3.1",测试提示指令来自历史ego_status，future仅作训练target；原始scene_dict指令生成史未公开。
navsim_v2,https://github.com/valeoai/TOAD,metric_reward_finetuning,no,no,independent_review_acceptance,20260924,"TOAD v2 drivor_model.py:225-249,285-286; drivor_agent.py:202-253; drivor_loss.py:248-318; toad.pdf Abstract / §3.2",CEM仅在eval且no_grad时优化轨迹，训练时榜单分数只监督评分头；无奖励式策略微调。
hugsim,https://github.com/hyzhou404/UniAD_SIM,control_interface_selection,no,no,independent_review_acceptance,20260924,"UniAD_SIM planning_head.py:16-17,51-55,190-200; tools/closeloop/e2e.py:270-273; uniad.pdf §2.4 / supplementary Planning",单模规划头只向闭环管道输出一条sdc_traj，未从同一网络多个控制接口中选择。
wod_e2e,https://github.com/vita-epfl/RAP,future_label_conditioning,no,NA,independent_review_acceptance,20260924,"RAP WOD dataset.py:620-688,744-751,1069-1107; pad_features.py:46-57; run_waymo_submission.py:58-84; rap.pdf §4.1",测试缓存代码拼接future_states并平滑计算输入朝向；若test字段非空则泄入未来真值，本地无test TFRecord或预制缓存可判触发。
hugsim,https://github.com/hyzhou404/UniAD_SIM,metric_proxy_candidate_selection,no,no,independent_review_acceptance,20260924,"UniAD_SIM base_e2e.py:440-451; planning_head.py:166-200,240-248; tools/closeloop/e2e.py:255-273; uniad.pdf §2.4",单轨迹规划头以ADE/碰撞监督，检测score_list不作为HUGSIM榜单代理重排规划候选。
hugsim,https://github.com/hyzhou404/NAVSIM,inference_failure_brake_fallback,no,no,independent_review_acceptance,20260924,"LTF ltf_e2e.py:21-35,56-80; ltf.pdf §4.2",推理RuntimeError时发送None并退出；未发送制动或零轨迹让场景继续。
hugsim,https://github.com/hyzhou404/UniAD_SIM,metric_proxy_test_search,no,no,independent_review_acceptance,20260924,"UniAD_SIM base_e2e.py:48,440-450; planning_head.py:190-238; collision_optimization.py:92-110; uniad.pdf §2.4 Eq.(9)-(11)",确有测试时避撞优化，但目标是跟随参考轨迹和避开预测占用，不是HUGSIM榜单分数代理。
bench2drive,https://github.com/George-Ling3/BLUE,simulator_pose_access,no,no,independent_review_acceptance,20260924,"BLUE configs/blue_eval.yaml:5-10; eval_blue_full.sh:244-254; agent_simlingo.py:382-405,468-494; scenario_logger.py:243-275; blue.pdf Bench2Drive setup",正式决策以GNSS/IMU/车速经UKF估位；actor真位姿仅在日志器，未流入策略。
bench2drive,https://github.com/swc-17/SparseDriveV2,multi_checkpoint_candidate_selection,no,no,independent_review_acceptance,20260924,"SparseDriveV2 evaluate_mutil_gpu_wyh.py:25-27,47-65; sparsedrive_b2d_agent.py:73-76,112-116,496-503; sparsedrivev2.pdf §3.5 / Appendix A",多GPU按路线并行但用同一weights_path；单模型内部选轨，未汇合多checkpoint候选。
nuscenes,https://github.com/NVlabs/BEV-Planner,benchmark_target_shaping,no,no,independent_review_acceptance,20260924,"BEV-Planner nuscenes_converter.py:478-507,579-582; naive_planner.py:301-311,331-351; bev_planner_plus_plus.py:184-187,233-245; bev_planner.pdf §3,§4.2",训练是标准三秒未来位移L1与有效mask/转向mode；论文改碰撞评测栅格，非训练目标按榜单塑形。
navsim_v2,https://github.com/valeoai/DrivoR,benchmark_target_shaping,no,no,independent_review_acceptance,20260924,"DrivoR README.md:92-120,174-208,285-315; drivoR.yaml:18; drivor_features.py:222-255; drivor_loss.py:252-271; drivor.pdf §4.2.4 Table 7",v2正式10轮及SimScale训练命令均未启用长目标，默认-1；长目标只在v1命令/消融且warmup EPDMS下降。
