board,rank,method,venue_year,score,ranking_source_url,snapshot_date,repo_url,code_grade,selected,not_selected_reason,split_protocol_note
carla_lb2,4,Kyber-E2E,2024,official DS 5.47,https://www.sota2.com/research/sota/autonomous-driving-on-carla-leaderboard-2-0-official-leaderboard,2026-09-24,,C,no,找到论文和报告，未找到该提交的公开 agent 代码,官方网页表格为空；SOTA2 转录官方提交。SENSORS/MAP 不直接比较。
navsim_v1,1,TOAD+DrivoR,2026,navtest PDMS 94.7,https://arxiv.org/abs/2606.07170,2026-09-24,https://github.com/valeoai/TOAD,A,yes,,navtest PDMS；固定 nav1 分支对应 v1 评测，论文 94.7 与 README 94.9 有版本差。
navsim_v1,2,DriveVLA-M0,2026,navtest PDMS 94.1,https://arxiv.org/abs/2608.10413,2026-09-24,https://github.com/ZebinX/DriveVLA-M0,A,yes,,navtest PDMS；论文 94.1 为 Scale，固定公开仓库主要提供 Base 92.3 入口；完整 memory+TTT Scale 提交流程缺失。
navsim_v1,3,RAP-DINO,ICLR 2026,navtest PDMS 93.8,https://openreview.net/forum?id=a9bOgeqbdB,2026-09-24,https://github.com/vita-epfl/RAP,A,yes,,navtest，PDMS。
navsim_v1,4,DrivoR,CVPR 2026,navtest PDMS 93.7,https://www.sota2.com/research/sota/trajectory-planning-on-navsim-v1-test,2026-09-24,https://github.com/valeoai/DrivoR,A,yes,,navtest，PDMS。
navsim_v1,5,PDM-Closed,2024,navtest PDMS 89.1,https://openreview.net/forum?id=a9bOgeqbdB,2026-09-24,https://github.com/autonomousvision/navsim,A,no,privileged 规则 baseline，仅参照,navtest，PDMS。
navsim_v2,1,PDM-Closed,2024,navhard EPDMS 56.6,https://www.sota2.com/research/sota/autonomous-driving-planning-on-navsim-navhard-two-stage-v2,2026-09-24,https://github.com/autonomousvision/navsim,A,no,privileged 规则 baseline，仅参照,navhard 双阶段，EPDMS。
navsim_v2,2,DrivoR+TOAD,2026,navhard EPDMS 56.3,https://www.sota2.com/research/sota/autonomous-driving-planning-on-navsim-navhard-two-stage-v2,2026-09-24,https://github.com/valeoai/TOAD,A,yes,,navhard 双阶段，EPDMS。
navsim_v2,3,DriveFuture,2026,navhard EPDMS 55.5,https://arxiv.org/abs/2605.09701,2026-09-24,,C,no,论文声称上榜但未找到公开可审计代码,navhard 双阶段，EPDMS。
navsim_v2,4,DrivoR,CVPR 2026,navhard EPDMS 54.6,https://www.sota2.com/research/sota/autonomous-driving-planning-on-navsim-navhard-two-stage-v2,2026-09-24,https://github.com/valeoai/DrivoR,A,yes,,navhard 双阶段，EPDMS。
navsim_v2,5,GTRS,2025,revised navhard EPDMS 45.4; old protocol 42.1,https://www.sota2.com/research/sota/autonomous-driving-planning-on-navsim-navhard-two-stage-v2,2026-09-24,https://github.com/NVlabs/GTRS,A,yes,,45.4 是后续修复后的 navhard 双阶段对比；固定论文/README 对应旧协议 42.1，旧候选消融不能分解 45.4。
nuscenes,1,Senna,2024,avg L2 0.22,https://www.sota2.com/research/sota/open-loop-planning-on-nuscenes-v1-0-test,2026-09-24,https://github.com/hustvl/Senna,C,no,固定公开提交只有 Senna-VLM，缺少对应 0.22 L2 的 E2E 规划实现,SOTA2 的 avg L2；不同原论文的碰撞计算和 ego 输入协议可能不同。
nuscenes,2,SparseOccVLA,2026,avg L2 0.23,https://www.sota2.com/research/sota/open-loop-planning-on-nuscenes-v1-0-test,2026-09-24,https://github.com/MSunDYY/SparseOccVLA,A,yes,,SOTA2 的 avg L2；不同原论文的碰撞计算和 ego 输入协议可能不同。
nuscenes,3,OmniSpace,2026,avg L2 0.28,https://www.sota2.com/research/sota/open-loop-planning-on-nuscenes-v1-0-test,2026-09-24,,C,no,未找到官方公开训练或规划推理代码,SOTA2 的 avg L2；不同原论文的碰撞计算和 ego 输入协议可能不同。
nuscenes,4,LVLDrive,2026,avg L2 0.29,https://www.sota2.com/research/sota/open-loop-planning-on-nuscenes-v1-0-test,2026-09-24,,C,no,未找到官方公开代码,SOTA2 的 avg L2；不同原论文的碰撞计算和 ego 输入协议可能不同。
nuscenes,5,AD-MLP,2023,SOTA2 avg L2 0.35; corrected paper/README 0.29,https://www.sota2.com/research/sota/open-loop-planning-on-nuscenes-v1-0-test,2026-09-24,https://github.com/E2E-AD/AD-MLP,A,yes,,SOTA2 的 avg L2；不同原论文的碰撞计算和 ego 输入协议可能不同。 SOTA2 的 0.35 对应无高层命令消融；论文/更新后 README 完整模型是 0.29。
wod_e2e,1,DriveMA-4B,CoRL 2026,RFS 8.079,https://github.com/Tsinghua-MARS-Lab/DriveMA#results,2026-09-24,https://github.com/Tsinghua-MARS-Lab/DriveMA,A,yes,,WOD-E2E test，RFS。
wod_e2e,2,NTR,2026,RFS 8.0461,https://arxiv.org/abs/2605.31116,2026-09-24,,C,no,未找到官方代码,WOD-E2E test，RFS。
wod_e2e,3,RAP-DINO,ICLR 2026,RFS 8.043,https://www.sota2.com/research/sota/end-to-end-driving-on-waymo-e2e-driving-challenge-leaderboard,2026-09-24,https://github.com/vita-epfl/RAP,A,yes,,WOD-E2E test，RFS。
wod_e2e,4,Poutine,2025,RFS 7.986,https://www.sota2.com/research/sota/end-to-end-driving-on-waymo-e2e-driving-challenge-leaderboard,2026-09-24,,C,no,技术报告公开，未找到对应模型代码,WOD-E2E test，RFS。
wod_e2e,5,AutoVLA,NeurIPS 2025,RFS 7.5566,https://www.sota2.com/research/sota/end-to-end-driving-on-waymo-e2e-driving-challenge-leaderboard,2026-09-24,https://github.com/ucla-mobility/AutoVLA,B,yes,,WOD-E2E test，RFS。 Waymo 专用提交/评测入口未公开；公开模型及通用训练路径可审计。
hugsim,1,WA-JEPA,2026,HDS 0.4462,https://arxiv.org/abs/2608.20974,2026-09-24,https://github.com/AFARI-Research/WA-JEPA,A,yes,,WA-JEPA 表 2；436 场景、同一控制器及评分实现。
hugsim,2,DrivoR,CVPR 2026,HDS 0.3252,https://arxiv.org/abs/2608.20974,2026-09-24,https://github.com/valeoai/DrivoR,C,no,固定公开提交没有 HUGSIM 适配/评测代码；论文虽报告该分数,WA-JEPA 表 2；436 场景、同一控制器及评分实现。
hugsim,3,UniAD,CVPR 2023,HDS 0.3124,https://arxiv.org/abs/2608.20974,2026-09-24,https://github.com/hyzhou404/UniAD_SIM,B,yes,,WA-JEPA 表 2；436 场景、同一控制器及评分实现。
hugsim,4,LTF,2024,HDS 0.2310,https://arxiv.org/abs/2608.20974,2026-09-24,https://github.com/hyzhou404/NAVSIM,B,yes,,WA-JEPA 表 2；436 场景、同一控制器及评分实现。
nuscenes,6,BEV-Planner++,2023,avg L2 0.35,https://www.sota2.com/research/sota/open-loop-planning-on-nuscenes-v1-0-test,2026-09-24,https://github.com/NVlabs/BEV-Planner,A,yes,,SOTA2 页面标 test 的 avg L2 0.35；固定仓库公开 test pipeline 实为 nuScenes val，且使用未来 GT 派生命令，不把网页名次视为同一官方 test 提交。
