board,repo,category,original,verdict,reviewer,selection_seed,evidence,reason
nuscenes,https://github.com/MSunDYY/SparseOccVLA,ego_only_open_loop_planning,no,no,independent_review_v2,20260924,"repos/nuscenes__sparseoccvla/projects/mmdet3d_plugin/models/detectors/sparseoccvla.py:300-371,589-628,696-714",测试路径明确读取多相机视觉并交给规划/VLM，故不满足只读 ego 运动与导航的定义。
navsim_v1,https://github.com/valeoai/TOAD,benchmark_target_shaping,no,yes,independent_review_v2,20260924,"repos/navsim_v1__toad_nav1/README.md:65-99,170-174,251-255; repos/navsim_v1__drivor/README.md:59-88; repos/navsim_v1__toad_nav1/navsim/agents/drivoR/drivor_features.py:222-243; navsim/agents/drivoR/layers/losses/drivor_loss.py:252-271",TOAD 文档把加长目标的训练命令关联到 nav1 主基座 checkpoint，评测和提交加载该 checkpoint；源码目标构造与损失可达。训练示例写 agent=drivoR_speed_up，但该 Hydra 配置未随 TOAD 快照公开，实际权重训练史不能逐步复现。
wod_e2e,https://github.com/vita-epfl/RAP,offline_candidate_library,no,no,independent_review_v2,20260924,"repos/wod_e2e__rap/navsim/agents/pad/navsim_config.py:32; navsim/agents/pad/pad_model.py:96,124-136,160-167",64 条 proposal 来自可学习 embedding、网络细化后由评分头选取；未见离线聚类的源域轨迹库。
navsim_v2,https://github.com/valeoai/TOAD,future_label_conditioning,no,no,independent_review_v2,20260924,repos/navsim_v2__toad/navsim/agents/drivoR/drivor_features.py:60-85; navsim/common/dataclasses.py:199-206; docs/agents.md:79,推理特征取当前/历史 ego 状态及路线导航命令；仓库说明命令基于期望路线，未见从同一样本未来真值生成的测试标签。
hugsim,https://github.com/AFARI-Research/WA-JEPA,simulator_pose_access,no,no,independent_review_v2,20260924,"repos/hugsim__wa_jepa/close_loop/hugsim_client.py:173-194; close_loop/hugsim_planner.py:196-200,250-268",客户端读取 FIFO 的 info[ego_box] 建历史运动特征，确实使用模拟器提供的位姿；未调用 world/actor 接口直接取位姿用于定位或路线，按严格判据不计。
navsim_v1,https://github.com/ZebinX/DriveVLA-M0,future_label_conditioning,no,no,independent_review_v2,20260924,repos/navsim_v1__drivevla_m0/navsim/agents/EpisodeDrive/drivevla_features.py:80-94; docs/agents.md:79,推理取 ego_status 的高层导航命令；协议文档说明它基于期望路线，未见测试时读取由同样本未来真值生成的标签。
navsim_v2,https://github.com/valeoai/TOAD,manual_scorer_reweighting,no,yes,independent_review_v2,20260924,"repos/navsim_v2__toad/README.md:150-179; navsim/planning/script/config/common/agent/drivoR.yaml:20-25,54-55; navsim/agents/drivoR/drivor_model.py:209-220,352-371",实际 NAVSIM-v2 评测命令覆盖六项 PDM 子分数权重并开启 CEM；推理用手设权重算候选分数并按综合分选精英，另有 comfort/anchor 手设系数。
hugsim,https://github.com/hyzhou404/UniAD_SIM,control_interface_selection,no,no,independent_review_v2,20260924,repos/hugsim__uniad/tools/closeloop/e2e.py:247-273; projects/mmdet3d_plugin/uniad/dense_heads/planning_head.py:130-199,闭环入口只取 planning_head 的单条 sdc_traj 回传；未见同一网络多控制接口之间的选择。
wod_e2e,https://github.com/Tsinghua-MARS-Lab/DriveMA,offline_candidate_library,no,no,independent_review_v2,20260924,"repos/wod_e2e__drivema/tools/infer_scripts/run_vllm_infer_VA.py:52-75,636-652; tools/other/convert_to_submission.py:135-188",VLM 根据图像与运动历史生成文本轨迹，提交脚本插值并写出；未见源域轨迹聚类固定候选库参与推理。
hugsim,https://github.com/hyzhou404/UniAD_SIM,metric_proxy_candidate_selection,no,no,independent_review_v2,20260924,"repos/hugsim__uniad/projects/mmdet3d_plugin/uniad/dense_heads/planning_head.py:160-200; tools/closeloop/e2e.py:247-255,270-273",多运动 query 先融合成一个规划 query，再回归单条 sdc_traj；没有榜单子分数代理头对已有候选排序。
hugsim,https://github.com/hyzhou404/NAVSIM,inference_failure_brake_fallback,no,no,independent_review_v2,20260924,repos/hugsim__ltf/ltf_e2e.py:56-80,推理 RuntimeError 后 traj=None，客户端发送 None 并退出；未发送全零制动轨迹以继续计分。
hugsim,https://github.com/hyzhou404/UniAD_SIM,metric_proxy_test_search,no,no,independent_review_v2,20260924,repos/hugsim__uniad/projects/mmdet3d_plugin/uniad/dense_heads/planning_head.py:193-238; tools/closeloop/e2e.py:270-273,可选碰撞优化依据预测占用调整单轨迹，非以榜单评分代理为目标反复搜索新轨迹。
