id,board,method,category,design_disclosed,reported_score_effect,source,disclosure_scope,code_status,code_status_date,code_status_source,notes
W5-015,carla_lb2,CarLLaVA,dataset_sampling_or_source,从 PDM-lite 特权专家收集训练样本，并按起步、转向、障碍及风险事件分桶抽样,论文说明采样；未见单独对分桶策略的同配置 DS 消融,"https://arxiv.org/pdf/2406.10165#page=3 (§3 Dataset; §4 p.4, PDF p.3)",仅论文披露，无代码可核,同仓库公开 SimLingo-Base 训练目录及共用闭环 agent；未找到能对应旧 CarLLaVA 官方 6.87 DS 的 checkpoint/提交配置,2026-09-24,https://github.com/RenzKa/simlingo/blob/743b243afd6cf5ff51b9fa1f8cac86f22d569684/README.md#L86-L93; https://github.com/RenzKa/simlingo/blob/743b243afd6cf5ff51b9fa1f8cac86f22d569684/README.md#L193,不把特权训练专家等同于测试时读取特权状态
W5-016,carla_lb2,CarLLaVA,pretrained_backbone,采用 CLIP 预训练视觉编码器和语言模型预训练,Table 2b：去预训练 DS 0.45；完整 6.87；ResNet-34 2.71,"https://arxiv.org/pdf/2406.10165#page=4 (Table 2b, PDF p.4)",仅论文披露，无代码可核,同仓库公开 SimLingo-Base 训练目录及共用闭环 agent；未找到能对应旧 CarLLaVA 官方 6.87 DS 的 checkpoint/提交配置,2026-09-24,https://github.com/RenzKa/simlingo/blob/743b243afd6cf5ff51b9fa1f8cac86f22d569684/README.md#L86-L93; https://github.com/RenzKa/simlingo/blob/743b243afd6cf5ff51b9fa1f8cac86f22d569684/README.md#L193,多个骨干差异，不能仅归因于预训练
W5-017,carla_lb2,SimLingo-BASE,metric_early_termination,沿用按距离阈值提前停止的 LB2 推理设置，论文称以此抵消 DS 非线性扣分,Appendix Table 9c 给不同阈值的官方 DS 对照,"https://arxiv.org/pdf/2503.09594#page=17 (Appendix C.1; Table 9c, PDF p.17)",仅论文披露，无代码可核,同仓库公开 Base 训练目录及共用闭环 agent；未找到能对应旧 Base 官方 6.25 DS 的 checkpoint/提交配置,2026-09-24,https://github.com/RenzKa/simlingo/blob/743b243afd6cf5ff51b9fa1f8cac86f22d569684/README.md#L86-L93; https://github.com/RenzKa/simlingo/blob/743b243afd6cf5ff51b9fa1f8cac86f22d569684/README.md#L193,与 CarLLaVA 同一研究组方法，避免重复计算为独立样本
W5-018,carla_lb2,SimLingo-BASE,output_representation,path/target-speed 解耦控制输出，并用 PID 转车控,Appendix Table 9a：waypoint-only DS 3.21→加 path 后 4.49,"https://arxiv.org/pdf/2503.09594#page=17 (Table 9a; §3.3 p.4, PDF p.17); https://arxiv.org/pdf/2503.09594#page=4",仅论文披露，无代码可核,同仓库公开 Base 训练目录及共用闭环 agent；未找到能对应旧 Base 官方 6.25 DS 的 checkpoint/提交配置,2026-09-24,https://github.com/RenzKa/simlingo/blob/743b243afd6cf5ff51b9fa1f8cac86f22d569684/README.md#L86-L93; https://github.com/RenzKa/simlingo/blob/743b243afd6cf5ff51b9fa1f8cac86f22d569684/README.md#L193,BASE 与完整 SimLingo 分数不可混同
W5-019,carla_lb2,SimLingo-BASE,dataset_sampling_or_source,PDM-lite 专家采集训练数据、按事件类型分桶；Bench2Drive 对照另调 controller,Table 2 p.7：同数据组成+调 controller 的 DS 63.45；与原数据 45.65 不同,"https://arxiv.org/pdf/2503.09594#page=7 (Table 2, PDF p.7)",仅论文披露，无代码可核,同仓库公开 Base 训练目录及共用闭环 agent；未找到能对应旧 Base 官方 6.25 DS 的 checkpoint/提交配置,2026-09-24,https://github.com/RenzKa/simlingo/blob/743b243afd6cf5ff51b9fa1f8cac86f22d569684/README.md#L86-L93; https://github.com/RenzKa/simlingo/blob/743b243afd6cf5ff51b9fa1f8cac86f22d569684/README.md#L193,表内不同数据、专家与控制器组合，不能单独归因
W5-020,carla_lb2,Kyber-E2E,manual_motion_planner,分模块定位、检测、跟踪、预测、行为规划；采样 11 条 Bezier 轨迹并以手工 cost 排序,Table I 逐模块替换展示 DS/RC/IS 差异,"https://arxiv.org/pdf/2405.01394#page=5 (Fig. 1 p.1; Table I p.5, PDF p.5)",仅论文披露，无代码可核,未检出该提交的官方 agent 仓库；仅论文可核,2026-09-24,https://github.com/search?q=Kyber-E2E&type=repositories,论文成本权重来自 InD 数据 IRL；不等同直接优化 LB2 官方计分公式
W5-021,carla_lb2,Kyber-E2E,dataset_sampling_or_source,用 nuScenes、InD 与 CARLA 数据分别训练检测和规划组件，解决 LB2 缺专家数据,Table I 显示各模块性能；未见单项数据源同配置消融,"https://arxiv.org/pdf/2405.01394#page=4 (§IV Training; Table I p.5, PDF p.4)",仅论文披露，无代码可核,未检出该提交的官方 agent 仓库；仅论文可核,2026-09-24,https://github.com/search?q=Kyber-E2E&type=repositories,模块替换伴随数据来源变化
W5-022,carla_lb2,Kyber-E2E,manual_motion_planner,行为规则处理交通标识、让行与阻塞车道；PID 控制器执行规划轨迹,Table I 比较 privileged 与 sensor-based 模块,"https://arxiv.org/pdf/2405.01394#page=5 (§III-D p.3; Table I p.5, PDF p.5)",仅论文披露，无代码可核,未检出该提交的官方 agent 仓库；仅论文可核,2026-09-24,https://github.com/search?q=Kyber-E2E&type=repositories,未审代码；不推断测试期还有论文未披露规则
W5-023,navsim_v2,DriveFuture,future_latent_conditioning,训练时用 GT future latent 对规划器提供条件，推理时改用预测 future latent，并逐步退火对齐,Table 4：future supervision 消融报告 EPDMS 变化,"https://arxiv.org/pdf/2605.09701#page=8 (Fig. 1 p.2; Table 4 p.8, PDF p.8)",仅论文披露，无代码可核,未检出对应官方方法仓库；仅论文可核,2026-09-24,https://github.com/search?q=DriveFuture+driving&type=repositories,论文明确测试时不用 GT future，不能编码 future_label_conditioning
W5-024,navsim_v2,DriveFuture,future_latent_conditioning,基于 BEV latent 预测未来，再用 diffusion decoder 生成多模态轨迹候选,Table 4/5 报消融与敏感性,"https://arxiv.org/pdf/2605.09701#page=8 (Fig. 2 p.4; Tables 4–5 pp.8–9, PDF p.8)",仅论文披露，无代码可核,未检出对应官方方法仓库；仅论文可核,2026-09-24,https://github.com/search?q=DriveFuture+driving&type=repositories,未把各组件效应合并
W5-025,navsim_v2,DriveFuture,learned_candidate_scoring,论文实现段称默认生成 100 个 proposal，并使用 GTRS-Dense scorer 选轨,论文主表 navhard EPDMS 55.5；Table 4 消融明确排除 GTRS-Dense scorer,"https://arxiv.org/pdf/2605.09701#page=8 (§4 Implementation; Tables 1 and 4, PDF p.8)",仅论文披露，无代码可核,未检出对应官方方法仓库；仅论文可核,2026-09-24,https://github.com/search?q=DriveFuture+driving&type=repositories,此论文未交代 scorer 的训练目标；其对 55.5 的独立增益也未由 Table 4 给出
W5-026,nuscenes,Senna,language_action_alignment_training,Senna-VLM 预测高层 meta-actions，Senna-E2E 将其用于轨迹规划；训练标签源自未来轨迹,Table II：完整 Senna* avg L2 0.22；不同变体需按表比较,"https://arxiv.org/pdf/2410.22313#page=6 (Fig. 2 p.2; Table II p.6, PDF p.6)",仅论文披露，无代码可核,官方仓库公开 Senna-VLM 代码与权重；未见对应 0.22 L2 的 Senna-E2E 规划实现,2026-09-24,https://github.com/hustvl/Senna/blob/31a3a2336e9494c254b612665fe55e95f67e9cae/README.md#L25-L34,训练时未来轨迹生成 meta-action 标签不等于测试时未来标签输入
W5-027,nuscenes,Senna,dataset_sampling_or_source,DriveX 大规模预训练后再用 nuScenes 微调；混合预训练、驾驶微调、规划微调三阶段,Tables VII/IX 报数据规模和训练流程消融,"https://arxiv.org/pdf/2410.22313#page=8 (Tables VII p.7 and IX p.8, PDF p.8)",仅论文披露，无代码可核,官方仓库公开 Senna-VLM 代码与权重；未见对应 0.22 L2 的 Senna-E2E 规划实现,2026-09-24,https://github.com/hustvl/Senna/blob/31a3a2336e9494c254b612665fe55e95f67e9cae/README.md#L25-L34,不同数据规模与目标的独立贡献需看 W1
W5-028,nuscenes,Senna,ego_state_fusion,论文 Table II 把使用 ego status 的变体标 *，并报告不使用 ego status 的对照,Table II 直接列有/无 ego status 的 L2 与碰撞率,"https://arxiv.org/pdf/2410.22313#page=6 (Table II, PDF p.6)",仅论文披露，无代码可核,官方仓库公开 Senna-VLM 代码与权重；未见对应 0.22 L2 的 Senna-E2E 规划实现,2026-09-24,https://github.com/hustvl/Senna/blob/31a3a2336e9494c254b612665fe55e95f67e9cae/README.md#L25-L34,0.22 所在 * 行用 ego status；跨论文 nuScenes 口径仍待核
W5-029,nuscenes,OmniSpace,geometry_supervision,推理端注入相机 pose/Plücker rays，跨视角 epipolar attention 限制几何相容注意力,Table 4 比较模块对 L2/碰撞/交叉率影响,"https://arxiv.org/pdf/2606.22617#page=8 (Fig. 1 p.2; Table 4 p.8, PDF p.8)",仅论文披露，无代码可核,未检出该论文作者的官方规划代码仓库；同名 GitHub 搜索结果与论文无关,2026-09-24,https://github.com/search?q=OmniSpace+driving&type=repositories,保持 2D 图像推理；外部 3D teacher 仅训练时用
W5-030,nuscenes,OmniSpace,geometry_supervision,用 VGGT 3D teacher、跨时间聚合与蒸馏 loss 训练视觉表征,Table 4–5 报模块与 temporal sampling 消融,"https://arxiv.org/pdf/2606.22617#page=8 (§3.3 pp.5–6; Tables 4–5 p.8, PDF p.8)",仅论文披露，无代码可核,未检出该论文作者的官方规划代码仓库；同名 GitHub 搜索结果与论文无关,2026-09-24,https://github.com/search?q=OmniSpace+driving&type=repositories,teacher 推理时移除，不认作测试时额外 3D 模型
W5-031,nuscenes,OmniSpace,pretrained_backbone,从 Qwen2.5-VL 等 MLLM 起点微调，原 vision encoder/projector 冻结,Table 1 报不同 backbone 的 nuScenes 开环分数,"https://arxiv.org/pdf/2606.22617#page=6 (Table 1, PDF p.6)",仅论文披露，无代码可核,未检出该论文作者的官方规划代码仓库；同名 GitHub 搜索结果与论文无关,2026-09-24,https://github.com/search?q=OmniSpace+driving&type=repositories,表的不同模型大小/架构不能视为单一变量实验
W5-032,nuscenes,LVLDrive,multimodal_sensor_fusion,融合 LiDAR、环视图像与文本，Q-Former 用渐进门控引入点云特征,Table 3 对输入模态、门控结构做消融,"https://arxiv.org/pdf/2512.24331#page=7 (Fig. 3 p.4; Table 3 p.7, PDF p.7)",仅论文披露，无代码可核,未检出对应官方方法仓库；仅论文可核,2026-09-24,https://github.com/search?q=LVLDrive&type=repositories,与 camera-only 排行方法的传感器协议不同
W5-033,nuscenes,LVLDrive,language_action_alignment_training,构造 spatial-aware QA 训练集，用规划、空间感知与 grounding 问答辅助训练,Table 4 报数据组合对 L2/碰撞/交叉率影响,"https://arxiv.org/pdf/2512.24331#page=8 (Table 4, PDF p.8)",仅论文披露，无代码可核,未检出对应官方方法仓库；仅论文可核,2026-09-24,https://github.com/search?q=LVLDrive&type=repositories,训练标签由 nuScenes 标注导出；未证实测试期读未来真值
W5-034,nuscenes,LVLDrive,evaluation_metric_variant,论文采用 BEV-Planner 式 improved collision rate：某时刻碰撞则其后时刻也记碰撞,Table 1：该口径下平均 collision rate 0.25%；无法从表分离口径本身的增减,"https://arxiv.org/pdf/2512.24331#page=7 (§4.2 Metrics; Table 1, PDF p.7)",仅论文披露，无代码可核,未检出对应官方方法仓库；仅论文可核,2026-09-24,https://github.com/search?q=LVLDrive&type=repositories,跨论文碰撞率需先对齐实现；论文还以 QA 格式输出六个 waypoint
W5-035,wod_e2e,NTR,masked_scene_token_reconstruction,masked latent 重建只通过紧凑 scene token bottleneck 反向传播；训练期 EMA teacher 给目标,Table 4 比较随机重建、EMA teacher 等变体 RFS,"https://arxiv.org/pdf/2605.31116#page=8 (Fig. 2 p.4; Table 4 p.8, PDF p.8)",仅论文披露，无代码可核,未检出对应官方方法仓库；仅论文可核,2026-09-24,https://github.com/search?q=NTR+driving&type=repositories,推理时重建分支移除
W5-036,wod_e2e,NTR,masked_scene_token_reconstruction,SAM3 语义 mask 用于决定重建位置，使训练监督聚焦道路参与者、可行驶区域及交通控制元素,Table 4 比较随机重建位置与语义先验 RFS,"https://arxiv.org/pdf/2605.31116#page=8 (Table 4; §3.3 pp.5–6; SAM3 p.3, PDF p.8); https://arxiv.org/pdf/2605.31116#page=3; https://arxiv.org/pdf/2605.31116#page=5; https://arxiv.org/pdf/2605.31116#page=6",仅论文披露，无代码可核,未检出对应官方方法仓库；仅论文可核,2026-09-24,https://github.com/search?q=NTR+driving&type=repositories,语义模型仅用于训练标注
W5-037,wod_e2e,NTR,learned_candidate_scoring,沿用 DrivoR 式 trajectory proposal 和 trajectory-conditioned scorer 从候选中择轨,Table 1 主分数；论文无该 scorer 的同配置单独消融,"https://arxiv.org/pdf/2605.31116#page=7 (Fig. 2 p.4; Table 1 p.7, PDF p.7); https://arxiv.org/pdf/2605.31116#page=4",仅论文披露，无代码可核,未检出对应官方方法仓库；仅论文可核,2026-09-24,https://github.com/search?q=NTR+driving&type=repositories,论文没有说明评分头以 WOD RFS 或其子项为训练目标，不能归入 metric_proxy_candidate_selection
W5-038,wod_e2e,Poutine,dataset_sampling_or_source,先在 CoVLA 日本道路影像与语言轨迹上预训练，再用 WOD-E2E 训练样本做 VLT 预训练,Table 1：CoVLA-only zero-shot RFS 7.74；完整预训练基座 val RFS 8.12,"https://storage.googleapis.com/waymo-uploads/files/research/2025%20Technical%20Reports/2025%20WOD%20E2E%20Driving%20Challenge%20-%20Special%20Mention%20-%20Poutine.pdf#page=4 (Table 1, PDF p.4)",仅论文披露，无代码可核,未检出对应模型仓库；技术报告公开,2026-09-24,https://github.com/search?q=Poutine+driving&type=repositories,7.74 与 8.12 不同训练语料和阶段，不是单因素因果
W5-039,wod_e2e,Poutine,language_action_alignment_training,用未来专家轨迹生成关键物体描述、行为解释和 meta-behavior，作为训练期语言监督,Table 1：No Language 变体低于完整 Poutine-Base,"https://storage.googleapis.com/waymo-uploads/files/research/2025%20Technical%20Reports/2025%20WOD%20E2E%20Driving%20Challenge%20-%20Special%20Mention%20-%20Poutine.pdf#page=4 (Fig. 3 p.3; Table 1 p.4, PDF p.4)",仅论文披露，无代码可核,未检出对应模型仓库；技术报告公开,2026-09-24,https://github.com/search?q=Poutine+driving&type=repositories,未来轨迹只用于生成训练标注，未见测试时读取未来真值
W5-040,wod_e2e,Poutine,metric_reward_finetuning,GRPO 后训练直接将归一化官方 RFS 和格式奖励用于优化策略,论文 p.4：test RFS 从预 RL 的 7.91 到后 RL 的 7.99；Fig. 5 另画验证集保留 63 例的曲线,"https://storage.googleapis.com/waymo-uploads/files/research/2025%20Technical%20Reports/2025%20WOD%20E2E%20Driving%20Challenge%20-%20Special%20Mention%20-%20Poutine.pdf#page=4 (§2.3 p.3; Figs. 1 and 5, PDF p.4)",仅论文披露，无代码可核,未检出对应模型仓库；技术报告公开,2026-09-24,https://github.com/search?q=Poutine+driving&type=repositories,RL 使用 416/479 个 preference-labeled validation scenarios；与正式 test 的独立性待综合
W5-041,wod_e2e,Poutine,inference_reasoning_mode,Poutine-Base 比较 CoT 开关；最终推理段称 CoT 用 1e-6 temperature，轨迹用 greedy decoding，并移除 intent 条件,Table 1：Poutine-Base no-CoT 8.12，CoT 8.08（val）；不代表最终提交不生成 CoT,"https://storage.googleapis.com/waymo-uploads/files/research/2025%20Technical%20Reports/2025%20WOD%20E2E%20Driving%20Challenge%20-%20Special%20Mention%20-%20Poutine.pdf#page=4 (Table 1; Implementation Details, PDF p.4)",仅论文披露，无代码可核,未检出对应模型仓库；技术报告公开,2026-09-24,https://github.com/search?q=Poutine+driving&type=repositories,最终提交的 CoT 路径与基座对照是否完全同配置待核，不作提速结论
W5-042,hugsim,DrivoR,metric_proxy_candidate_selection,预测 PDM 各子分数，在生成的固定候选轨迹中选分数最高者,论文 Table 2 报 HUGSIM RC/HDS，但无 HUGSIM 专门 scorer 消融,"https://arxiv.org/pdf/2601.05083#page=5 (Fig. 2 p.2; Table 2 p.5, PDF p.5)",仅论文披露，无代码可核,官方 NAVSIM 实现公开；未见 HUGSIM 适配/评测入口,2026-09-24,https://github.com/valeoai/DrivoR/blob/fc6e5aa144bbcb5a046e22c18f1bd5cf3af8634a/README.md#L140-L185,PDMS 代理在 NAVSIM 训练，HUGSIM 相对收益未经单独验证
W5-043,hugsim,DrivoR,pretrained_backbone,DINOv2 初始化视觉编码器,Table 4a 在 NAVSIM-v1 上报预训练消融；不能直接分解 HUGSIM 分数,"https://arxiv.org/pdf/2601.05083#page=7 (Table 4a, PDF p.7); https://arxiv.org/pdf/2601.05083#page=5",仅论文披露，无代码可核,官方 NAVSIM 实现公开；未见 HUGSIM 适配/评测入口,2026-09-24,https://github.com/valeoai/DrivoR/blob/fc6e5aa144bbcb5a046e22c18f1bd5cf3af8634a/README.md#L140-L185,论文 Table 2 称使用 NAVSIM-v1 评测的 DrivoR 模型零样本评 HUGSIM；确切 checkpoint 文件和 HUGSIM 入口尚无代码核验
W5-044,hugsim,DrivoR,manual_scorer_reweighting,论文允许推理时重新组合预测子分数以调节保守/进度偏好,Table 10 p.14 给 v2 推理权重；HUGSIM 本身未说明采用哪组权重,"https://arxiv.org/pdf/2601.05083#page=14 (§3.4 p.4; Table 10 p.14, PDF p.14)",仅论文披露，无代码可核,官方 NAVSIM 实现公开；未见 HUGSIM 适配/评测入口,2026-09-24,https://github.com/valeoai/DrivoR/blob/fc6e5aa144bbcb5a046e22c18f1bd5cf3af8634a/README.md#L140-L185,列为披露的可调设计，不认定是 HUGSIM 提交所用配置
W5-045,hugsim,DrivoR,scene_token_compression,用相机专属 register token 压缩视觉 patch token，再供轨迹生成及评分,Table 4b 在 NAVSIM-v1 上比较压缩方式；HUGSIM 无该机制单独消融,"https://arxiv.org/pdf/2601.05083#page=7 (Table 4b, PDF p.7); https://arxiv.org/pdf/2601.05083#page=5",仅论文披露，无代码可核,官方 NAVSIM 实现公开；未见 HUGSIM 适配/评测入口,2026-09-24,https://github.com/valeoai/DrivoR/blob/fc6e5aa144bbcb5a046e22c18f1bd5cf3af8634a/README.md#L140-L185,论文 Table 2 称 NAVSIM-v1 模型用于 HUGSIM 零样本评测；具体 checkpoint 文件无代码核验
